"sales_order_number","customer_id","order_date","shipping_method","terms","web_order","subtotal","total","order_weight","first_order_month","months_since_first_order"
31065,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,381,381,0,2023-01-01,6
31066,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,370.5,370.5,0,2023-01-01,6
31067,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1476,1476,0,2023-01-01,6
31068,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1623,1623,0,2023-01-01,6
31070,"S038-STLKI",2023-07-25,"MWS-T","NET60",FALSE,2104.45,2104.45,0,2023-01-01,6
31085,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,20967,20967,0,2023-01-01,6
31078,"A045-AFS",2023-07-26,NA,NA,FALSE,3996,3996,0,2023-01-01,6
31087,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,20967,20967,0,2023-01-01,6
31088,"M030-MORGO",2023-07-26,NA,"NET45",FALSE,481.5,481.5,0,2023-01-01,6
31089,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,13978,13978,0,2023-01-01,6
31090,"M030-MORGO",2023-07-26,NA,"NET45",FALSE,25160.4,25160.4,0,2023-01-01,6
31091,"M030-MORGO",2023-07-26,NA,"NET45",FALSE,7230,7230,0,2023-01-01,6
31092,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,8412,8412,0,2023-01-01,6
31093,"M030-MORGO",2023-07-26,NA,"NET45",FALSE,7230,7230,0,2023-01-01,6
31094,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,24671.25,24671.25,0,2023-01-01,6
31096,"M030-MORGO",2023-07-26,NA,"NET45",FALSE,7230,7230,0,2023-01-01,6
31100,"P014-PRMPT",2023-07-27,NA,"NET30",FALSE,800,800,0,2023-01-01,6
31101,"U002-UENRT",2023-07-27,"MWS-T","NET30",FALSE,1996,1996,0,2023-01-01,6
31103,"S046-SPOC",2023-07-27,"CST-D","NET30",FALSE,5567.06,5567.06,0,2023-01-01,6
31104,"D011-DAIKI",2023-07-27,NA,"NET30",FALSE,5726,5726,0,2023-01-01,6
31105,"A029-A&ECO",2023-07-27,"WWE","NET30",FALSE,696,696,0,2023-01-01,6
31115,"S002-SREIL",2023-07-31,NA,"NET30",FALSE,59.4,59.4,0,2023-01-01,6
31116,"S002-SREIL",2023-07-31,NA,"NET30",FALSE,2829.89,2829.89,0,2023-01-01,6
31118,"S046-SPOC",2023-07-31,"CST-D","NET30",FALSE,323.88,323.88,0,2023-01-01,6
31119,"S028-SAWTR",2023-07-31,"MWS-T","NET30",FALSE,3984,3984,0,2023-01-01,6
31120,"N012-NICHF",2023-07-31,"MWS-T","NET30",FALSE,979.4,979.4,0,2023-01-01,6
31143,"F022-F&D",2023-08-01,"CPICK",NA,FALSE,59.9,59.9,0,2023-01-01,7
31144,"K016-KELVI",2023-08-01,"MWS-T","NET45",FALSE,723.68,723.68,0,2023-01-01,7
31149,"M030-MORGO",2023-08-01,"MWS-T","NET45",FALSE,2241,2241,0,2023-01-01,7
31153,"A045-AFS",2023-08-01,NA,NA,FALSE,14692,14692,1028,2023-01-01,7
31154,"S046-SPOC",2023-08-01,"CST-D","NET30",FALSE,1369,1369,0,2023-01-01,7
31155,"M030-MORGO",2023-08-01,"MWS-T","NET45",FALSE,6944.38,6944.38,0,2023-01-01,7
